EmployeeNumber,Age,Gender,MaritalStatus,Education,Department,JobRole,JobLevel,BusinessTravel,OverTime,MonthlyIncome,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,YearsSinceLastPromotion,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TrainingTimesLastYear,SalarySlab,AgeBand,TenureBand,Attrition
54,47,Female,Married,3,Research & Development,Research Director,3,Travel_Rarely,No,45741,18.1,0,28,4,0,0,0,3,4,2,4,3,3,35K-60K,46+,4-7 yrs,No
55,36,Female,Single,3,Research & Development,Research Director,2,Travel_Rarely,No,26023,18.1,3,16,5,4,5,0,3,4,4,3,3,4,<=35K,36-45,4-7 yrs,No
56,36,Male,Single,1,Human Resources,Human Resources Representative,1,Travel_Rarely,No,10000,16.9,2,18,3,3,3,0,3,4,2,3,3,4,<=35K,36-45,0-3 yrs,No
57,33,Female,Married,3,Sales,Manager,4,Travel_Rarely,No,62903,22.7,0,14,1,1,1,1,3,2,2,3,2,2,>60K,26-35,0-3 yrs,No
58,38,Female,Divorced,2,Sales,Manager,2,Travel_Rarely,Yes,20610,15.4,0,17,15,0,3,3,3,3,3,4,3,2,<=35K,36-45,8+ yrs,No
59,44,Male,Married,5,Sales,Sales Representative,1,Travel_Frequently,No,10000,17.3,0,26,5,4,1,0,3,4,3,3,3,3,<=35K,36-45,4-7 yrs,No
60,29,Male,Married,3,Research & Development,Laboratory Technician,3,Non-Travel,Yes,54223,11.0,0,8,7,1,5,0,3,3,3,1,3,2,35K-60K,26-35,4-7 yrs,No
61,30,Male,Married,3,Research & Development,Research Director,2,Travel_Rarely,No,45205,12.1,2,10,6,2,3,5,4,3,3,1,3,1,35K-60K,26-35,4-7 yrs,No
62,34,Female,Single,3,Sales,Manager,1,Travel_Rarely,No,18146,11.0,3,14,14,6,4,0,3,4,2,3,3,2,<=35K,26-35,8+ yrs,No
63,24,Male,Divorced,1,Research & Development,Healthcare Representative,1,Travel_Rarely,Yes,23851,19.9,0,2,2,1,1,2,3,3,3,1,2,1,<=35K,18-25,0-3 yrs,No
64,29,Female,Married,5,Research & Development,Manager,1,Travel_Rarely,No,13033,11.0,1,7,3,2,1,0,3,4,3,2,1,2,<=35K,26-35,0-3 yrs,No
65,32,Male,Single,2,Sales,Sales Executive,2,Travel_Rarely,Yes,19298,13.7,1,10,2,2,0,0,3,3,4,3,3,5,<=35K,26-35,0-3 yrs,Yes
66,44,Female,Married,3,Research & Development,Healthcare Representative,3,Travel_Rarely,No,49897,11.0,0,23,2,1,2,2,4,4,2,1,3,1,35K-60K,36-45,0-3 yrs,No
67,39,Male,Single,3,Sales,Manager,2,Travel_Rarely,Yes,34554,12.1,0,17,1,1,1,1,3,4,4,3,4,4,<=35K,36-45,0-3 yrs,No
68,38,Male,Divorced,1,Research & Development,Manager,3,Travel_Rarely,No,45573,13.4,0,19,19,2,5,15,3,3,4,4,3,3,35K-60K,36-45,8+ yrs,No
69,44,Female,Single,4,Sales,Manager,4,Non-Travel,No,58060,20.3,1,23,12,0,9,4,3,1,4,1,4,3,35K-60K,36-45,8+ yrs,No
70,35,Female,Married,3,Human Resources,Human Resources Representative,2,Travel_Rarely,No,37697,16.7,1,14,2,2,2,1,3,1,1,1,3,2,35K-60K,26-35,0-3 yrs,Yes
71,40,Female,Single,2,Research & Development,Research Director,1,Non-Travel,No,10000,12.1,1,18,2,2,0,2,3,3,3,1,3,1,<=35K,36-45,0-3 yrs,No
72,35,Male,Married,1,Sales,Manager,3,Travel_Rarely,Yes,38809,19.1,0,13,0,0,0,0,3,4,3,3,3,2,35K-60K,26-35,0-3 yrs,No
73,39,Female,Married,2,Sales,Manager,2,Travel_Rarely,No,21935,15.3,1,18,12,0,1,2,3,3,2,3,3,3,<=35K,36-45,8+ yrs,Yes
74,31,Male,Married,4,Research & Development,Research Director,2,Travel_Rarely,Yes,30679,15.3,1,11,2,2,2,0,3,2,3,3,3,4,<=35K,26-35,0-3 yrs,No
75,18,Male,Married,3,Research & Development,Manager,3,Travel_Rarely,Yes,36296,11.0,2,0,0,0,0,0,3,2,3,3,3,5,35K-60K,18-25,0-3 yrs,No
76,35,Male,Divorced,2,Research & Development,Manager,2,Travel_Rarely,Yes,24526,11.5,0,13,13,0,1,1,3,3,1,3,3,2,<=35K,26-35,8+ yrs,No
77,49,Male,Single,1,Research & Development,Healthcare Representative,4,Non-Travel,No,54353,12.1,2,29,3,1,3,3,3,3,2,4,3,3,35K-60K,46+,0-3 yrs,No
78,45,Male,Married,4,Sales,Sales Representative,1,Travel_Rarely,No,12915,15.4,2,26,9,2,0,1,4,4,2,1,3,3,<=35K,36-45,8+ yrs,Yes
79,45,Female,Single,3,Research & Development,Manager,3,Non-Travel,Yes,33101,15.5,0,26,3,0,0,1,3,3,2,4,4,2,<=35K,36-45,0-3 yrs,No
80,48,Male,Divorced,3,Sales,Sales Executive,1,Travel_Rarely,Yes,15697,20.9,0,29,7,0,4,4,3,2,1,3,2,2,<=35K,46+,4-7 yrs,No
81,37,Female,Married,3,Research & Development,Research Director,4,Travel_Frequently,Yes,69978,16.6,2,16,3,3,3,0,3,3,1,2,3,4,>60K,36-45,0-3 yrs,No
82,38,Male,Married,2,Research & Development,Healthcare Representative,1,Travel_Rarely,No,16083,11.0,1,17,2,2,2,2,3,4,2,3,3,2,<=35K,36-45,0-3 yrs,Yes
83,31,Male,Married,3,Research & Development,Manager,1,Travel_Rarely,No,27330,16.2,2,10,10,1,0,6,4,3,4,1,3,4,<=35K,26-35,8+ yrs,Yes
84,34,Male,Single,5,Sales,Manager,2,Travel_Frequently,Yes,40671,11.0,1,13,5,0,1,1,3,2,4,3,3,2,35K-60K,26-35,4-7 yrs,No
85,42,Female,Single,2,Research & Development,Research Director,2,Travel_Rarely,No,36221,11.6,1,21,2,1,2,0,3,2,3,1,3,2,35K-60K,36-45,0-3 yrs,No
86,47,Female,Single,3,Research & Development,Healthcare Representative,1,Travel_Rarely,No,15597,12.2,0,25,1,0,1,1,3,4,4,1,2,3,<=35K,46+,0-3 yrs,No
87,35,Female,Married,3,Research & Development,Laboratory Technician,2,Travel_Rarely,No,30180,12.7,0,15,0,0,0,0,3,1,2,3,3,1,<=35K,26-35,0-3 yrs,No
88,32,Female,Single,3,Research & Development,Research Director,2,Travel_Rarely,No,36110,11.0,3,10,7,0,7,2,3,2,3,4,3,5,35K-60K,26-35,4-7 yrs,No
89,36,Male,Single,2,Research & Development,Laboratory Technician,1,Non-Travel,No,11866,16.0,0,16,2,0,0,0,3,1,1,4,3,4,<=35K,36-45,0-3 yrs,No
90,42,Male,Divorced,4,Research & Development,Laboratory Technician,2,Travel_Rarely,No,14939,11.0,0,20,10,1,0,0,3,4,4,3,2,3,<=35K,36-45,8+ yrs,No
91,23,Female,Divorced,3,Sales,Sales Executive,3,Travel_Rarely,No,48936,16.5,1,4,2,2,2,2,3,1,1,3,2,6,35K-60K,18-25,0-3 yrs,No
92,18,Male,Married,3,Research & Development,Manager,3,Non-Travel,No,35951,23.5,1,0,0,0,0,0,3,4,1,4,2,0,35K-60K,18-25,0-3 yrs,No
93,31,Male,Married,3,Research & Development,Research Director,3,Travel_Rarely,No,37302,11.0,0,10,9,1,9,4,3,3,2,2,3,2,35K-60K,26-35,8+ yrs,No
94,25,Male,Single,2,Research & Development,Laboratory Technician,3,Travel_Rarely,No,45001,14.1,0,7,4,1,0,3,3,3,4,1,3,4,35K-60K,18-25,4-7 yrs,No
95,32,Male,Married,1,Research & Development,Research Scientist,2,Non-Travel,Yes,29239,11.0,0,14,12,1,1,2,3,4,1,3,3,2,<=35K,26-35,8+ yrs,No
96,35,Male,Divorced,4,Research & Development,Healthcare Representative,1,Travel_Rarely,Yes,10000,14.1,0,16,5,5,1,5,3,3,2,3,2,0,<=35K,26-35,4-7 yrs,No
97,32,Male,Single,2,Research & Development,Research Director,2,Travel_Rarely,No,31323,17.6,1,14,1,1,1,0,4,3,2,3,2,1,<=35K,26-35,0-3 yrs,No
98,50,Male,Single,4,Research & Development,Laboratory Technician,3,Travel_Rarely,No,52729,17.9,0,32,5,4,0,0,3,2,4,4,1,2,35K-60K,46+,4-7 yrs,No
99,39,Male,Divorced,3,Sales,Manager,5,Travel_Frequently,No,65973,15.5,2,20,0,0,0,0,4,3,3,1,3,3,>60K,36-45,0-3 yrs,No
100,39,Male,Married,3,Sales,Sales Executive,2,Travel_Rarely,No,40179,18.5,1,19,2,2,1,0,3,4,3,3,2,2,35K-60K,36-45,0-3 yrs,No
101,42,Male,Single,3,Sales,Manager,1,Non-Travel,No,10000,24.6,1,20,1,0,1,1,3,4,3,3,4,2,<=35K,36-45,0-3 yrs,Yes
102,26,Female,Married,3,Research & Development,Research Scientist,1,Travel_Rarely,Yes,31938,21.5,0,8,6,0,5,6,3,4,3,4,3,0,<=35K,26-35,4-7 yrs,Yes
103,46,Male,Single,1,Research & Development,Laboratory Technician,2,Travel_Rarely,No,26709,13.3,1,25,0,0,0,0,3,4,1,4,3,3,<=35K,46+,0-3 yrs,Yes
104,36,Male,Married,3,Research & Development,Manager,2,Travel_Rarely,No,31164,11.0,0,17,2,0,2,2,3,4,2,3,3,5,<=35K,36-45,0-3 yrs,No
105,43,Female,Married,3,Research & Development,Laboratory Technician,1,Travel_Rarely,Yes,10000,13.7,0,25,2,2,1,2,3,4,4,2,3,3,<=35K,36-45,0-3 yrs,No
106,27,Male,Divorced,3,Sales,Sales Representative,4,Travel_Rarely,Yes,59502,11.7,2,7,0,0,0,0,3,3,4,4,3,2,35K-60K,26-35,0-3 yrs,No
107,22,Male,Married,2,Research & Development,Research Scientist,2,Travel_Rarely,Yes,31827,16.9,1,2,0,0,0,0,3,3,4,2,3,2,<=35K,18-25,0-3 yrs,Yes
108,44,Female,Divorced,3,Research & Development,Research Director,4,Travel_Frequently,No,59310,11.0,2,23,2,0,1,1,3,4,4,4,1,2,35K-60K,36-45,0-3 yrs,Yes
109,40,Male,Married,2,Sales,Sales Executive,3,Travel_Rarely,No,40495,14.9,0,22,1,1,1,1,3,3,3,4,3,1,35K-60K,36-45,0-3 yrs,Yes
110,28,Female,Married,2,Sales,Sales Representative,3,Travel_Rarely,No,37427,18.3,0,7,0,0,0,0,3,4,4,3,3,4,35K-60K,26-35,0-3 yrs,Yes
111,28,Female,Married,1,Sales,Manager,2,Travel_Frequently,No,39044,14.8,3,8,1,1,1,1,3,1,4,4,4,1,35K-60K,26-35,0-3 yrs,Yes
112,47,Female,Divorced,4,Sales,Manager,3,Travel_Rarely,Yes,45246,11.7,1,27,10,0,0,4,3,2,2,3,3,2,35K-60K,46+,8+ yrs,No
113,26,Male,Divorced,2,Human Resources,Human Resources Representative,3,Non-Travel,No,57326,19.5,1,4,4,0,0,3,4,2,1,1,2,4,35K-60K,26-35,4-7 yrs,No
114,51,Male,Single,2,Research & Development,Manager,3,Travel_Rarely,No,40788,11.0,1,31,3,1,3,0,3,1,3,4,3,3,35K-60K,46+,0-3 yrs,No
115,28,Male,Divorced,2,Research & Development,Research Director,2,Travel_Rarely,No,26521,14.0,0,9,9,5,0,1,3,4,1,3,3,3,<=35K,26-35,8+ yrs,Yes
116,42,Male,Divorced,2,Research & Development,Research Scientist,5,Travel_Rarely,No,81524,15.0,1,20,0,0,0,0,4,2,2,4,3,3,>60K,36-45,0-3 yrs,No
117,33,Male,Divorced,3,Research & Development,Laboratory Technician,3,Travel_Rarely,Yes,32016,15.3,0,12,2,0,0,2,3,3,4,2,4,1,<=35K,26-35,0-3 yrs,No
118,42,Male,Single,1,Sales,Sales Executive,3,Travel_Rarely,No,35292,15.9,1,22,10,0,0,2,3,1,4,4,2,2,35K-60K,36-45,8+ yrs,No
119,31,Male,Divorced,2,Research & Development,Laboratory Technician,4,Travel_Rarely,No,68779,17.5,1,12,5,0,1,5,4,1,3,4,3,3,>60K,26-35,4-7 yrs,No
120,35,Male,Divorced,3,Research & Development,Laboratory Technician,1,Travel_Rarely,No,10000,15.1,2,13,13,1,0,2,4,2,3,4,4,2,<=35K,26-35,8+ yrs,No
121,37,Male,Single,3,Research & Development,Research Scientist,1,Travel_Rarely,No,10000,13.8,1,18,17,2,0,2,3,4,2,2,4,0,<=35K,36-45,8+ yrs,No
122,27,Male,Divorced,4,Research & Development,Manager,2,Travel_Rarely,Yes,44948,13.7,0,5,1,0,1,1,3,4,3,3,3,4,35K-60K,26-35,0-3 yrs,No
123,43,Female,Single,3,Research & Development,Laboratory Technician,2,Non-Travel,No,18849,12.9,1,21,21,1,2,1,3,3,3,4,3,3,<=35K,36-45,8+ yrs,No
124,32,Male,Single,2,Sales,Sales Executive,3,Travel_Frequently,No,46472,18.1,0,10,10,2,5,3,3,4,4,3,1,2,35K-60K,26-35,8+ yrs,Yes
125,34,Male,Married,3,Sales,Sales Representative,2,Travel_Rarely,No,30552,12.8,0,13,2,1,0,1,3,4,4,3,4,1,<=35K,26-35,0-3 yrs,Yes
126,27,Female,Married,2,Research & Development,Healthcare Representative,2,Travel_Rarely,No,10000,18.3,0,5,5,0,5,2,4,3,2,3,3,3,<=35K,26-35,4-7 yrs,No
127,18,Male,Married,3,Research & Development,Manager,2,Travel_Rarely,No,27861,15.3,1,0,0,0,0,0,3,2,2,4,1,2,<=35K,18-25,0-3 yrs,No
128,35,Male,Single,3,Research & Development,Research Director,1,Travel_Rarely,Yes,18587,13.3,0,16,6,1,0,0,4,2,3,4,3,2,<=35K,26-35,4-7 yrs,No
129,58,Male,Divorced,2,Sales,Sales Representative,2,Travel_Rarely,No,32834,17.5,0,36,1,1,1,1,3,1,3,3,3,3,<=35K,46+,0-3 yrs,No
130,44,Female,Single,3,Research & Development,Healthcare Representative,3,Travel_Rarely,No,52228,12.5,2,23,0,0,0,0,3,2,1,4,3,2,35K-60K,36-45,0-3 yrs,No
131,36,Male,Single,4,Research & Development,Research Director,1,Non-Travel,No,11900,17.6,1,17,5,0,4,5,4,2,4,3,3,1,<=35K,36-45,4-7 yrs,Yes
132,34,Male,Single,5,Sales,Manager,2,Travel_Rarely,Yes,35700,16.0,0,12,2,0,1,1,3,1,4,4,3,3,35K-60K,26-35,0-3 yrs,Yes
133,37,Male,Married,3,Sales,Sales Representative,2,Travel_Rarely,Yes,24485,13.0,0,18,6,1,2,2,3,4,4,3,3,4,<=35K,36-45,4-7 yrs,No
134,41,Female,Divorced,3,Research & Development,Research Scientist,1,Travel_Rarely,Yes,10000,17.2,1,20,4,1,2,0,3,4,4,2,2,4,<=35K,36-45,4-7 yrs,No
135,26,Male,Married,2,Human Resources,Manager,1,Travel_Rarely,No,10000,17.2,2,7,2,2,1,0,3,2,4,1,3,4,<=35K,26-35,0-3 yrs,No
136,47,Male,Divorced,2,Research & Development,Healthcare Representative,5,Travel_Rarely,No,63303,19.5,0,26,1,1,1,1,3,4,4,3,1,2,>60K,46+,0-3 yrs,No
137,43,Female,Single,3,Research & Development,Research Director,2,Non-Travel,No,38076,18.8,1,23,5,5,3,5,3,4,4,3,3,4,35K-60K,36-45,4-7 yrs,No
138,43,Male,Married,3,Research & Development,Laboratory Technician,1,Travel_Rarely,No,10000,17.0,1,21,10,2,2,1,3,2,1,4,2,4,<=35K,36-45,8+ yrs,No
139,40,Female,Married,4,Research & Development,Research Scientist,1,Non-Travel,No,17192,11.0,1,19,5,5,5,5,3,4,1,4,3,3,<=35K,36-45,4-7 yrs,Yes
140,37,Male,Married,3,Human Resources,Human Resources Representative,3,Travel_Rarely,No,42872,24.3,3,15,5,3,5,0,3,2,1,4,3,2,35K-60K,36-45,4-7 yrs,Yes
141,43,Female,Single,3,Human Resources,Manager,2,Travel_Frequently,No,29178,11.0,1,22,4,3,4,0,3,1,3,1,3,3,<=35K,36-45,4-7 yrs,No
142,42,Male,Married,3,Sales,Sales Executive,3,Non-Travel,No,55908,18.7,2,24,2,2,2,2,3,3,4,3,3,5,35K-60K,36-45,0-3 yrs,No
143,33,Female,Married,4,Research & Development,Research Scientist,1,Travel_Rarely,No,11492,16.8,0,15,3,3,1,2,3,3,3,3,2,6,<=35K,26-35,0-3 yrs,No
144,31,Female,Married,3,Research & Development,Healthcare Representative,4,Travel_Rarely,No,64892,11.0,1,13,13,0,1,2,3,1,2,1,3,2,>60K,26-35,8+ yrs,Yes
145,37,Male,Married,3,Sales,Sales Representative,2,Travel_Rarely,No,30300,14.7,1,16,8,7,0,0,3,3,1,3,3,5,<=35K,36-45,8+ yrs,No
146,50,Male,Single,3,Sales,Sales Executive,2,Non-Travel,No,28783,14.9,0,28,3,3,3,0,3,4,1,2,2,3,<=35K,46+,0-3 yrs,No
147,25,Male,Married,4,Research & Development,Manager,2,Travel_Rarely,No,48399,20.0,1,7,3,1,0,1,3,4,3,1,2,2,35K-60K,18-25,0-3 yrs,No
148,23,Male,Single,1,Research & Development,Research Scientist,2,Travel_Rarely,Yes,18469,12.6,0,1,1,1,1,1,3,4,1,1,4,6,<=35K,18-25,0-3 yrs,No
149,38,Male,Divorced,4,Sales,Sales Representative,4,Travel_Rarely,Yes,70313,14.2,0,17,6,5,0,0,3,4,1,4,3,4,>60K,36-45,4-7 yrs,No
150,37,Male,Married,3,Sales,Sales Executive,4,Travel_Rarely,Yes,65251,11.0,0,15,3,3,0,3,3,4,3,3,1,3,>60K,36-45,0-3 yrs,No
151,38,Male,Single,3,Research & Development,Healthcare Representative,2,Travel_Frequently,No,26163,21.6,1,16,6,0,0,0,3,1,3,4,2,5,<=35K,36-45,4-7 yrs,No
152,39,Male,Divorced,3,Sales,Manager,4,Travel_Rarely,Yes,73034,11.2,2,21,2,2,2,2,4,4,1,4,3,3,>60K,36-45,0-3 yrs,No
153,34,Male,Married,3,Sales,Manager,3,Travel_Rarely,Yes,30215,16.4,0,15,3,3,0,0,4,4,4,1,3,2,<=35K,26-35,0-3 yrs,No
154,50,Female,Single,1,Research & Development,Laboratory Technician,4,Non-Travel,No,55825,14.8,1,30,11,2,2,1,3,2,3,1,3,5,35K-60K,46+,8+ yrs,No
